Year,Month,SO2,NO2,NH3,O3,Pb,PM10,PM2.5,AQI,Prominent_Pollutant,Category
2022,Jan,3,17,10,31,1.9,133,85,133,PM10,Moderate
2022,Feb,3,17,10,31,6.7,115,85,115,PM10,Moderate
2022,Mar,3,18,10,29,2.2,95,63,95,PM10,Satisfactory
2022,Apr,3,18,10,28,1.9,85,45,85,PM10,Satisfactory
2022,May,3,20,9,29,2.9,78,47,78,PM10,Satisfactory
2022,Jun,3,20,9,28,1.4,72,47,72,PM10,Satisfactory
2022,Jul,3,19,9,27,1.7,63,37,60,PM10,Satisfactory
2022,Aug,3,20,9,26,1.3,57,33,57,PM10,Satisfactory
2022,Sep,3,18,9,27,1.3,54,37,54,PM10,Satisfactory
2022,Oct,3,20,10,28,3.0,105,70,105,PM10,Moderate
2022,Nov,3,20,9,26,-,127,88,127,PM10,Moderate
2022,Dec,3,29,11,28,-,157,150,157,PM10,Moderate
2023,Jan,3,25,11,28,-,146,98,146,PM10,Moderate
2023,Feb,3,20,10,28,-,121,73,121,PM10,Moderate
2023,Mar,3,20,10,28,-,101,98,101,PM10,Moderate
2023,Apr,3,22,10,29,-,102,68,102,PM10,Moderate
2023,May,3,21,9,28,0.44,81,55,81,PM10,Satisfactory
2023,Jun,3,20,9,28,-,78,55,78,PM10,Satisfactory
2023,Jul,3,17,10,28,-,47,37,47,PM10,Good
2023,Aug,3,18,9,26,-,60,40,60,PM10,Satisfactory
2023,Sep,3,18,12,26,-,53,40,53,PM10,Satisfactory
2023,Oct,3,20,11,26,-,111,70,111,PM10,Moderate
2023,Nov,3,25,11,29,-,156,163,163,PM2.5,Moderate
2023,Dec,3,21,10,26,-,151,140,151,PM10,Moderate
