year,month,PM2.5 ,PM10 ,NO2 ,Ozone ,NH3 ,city
2022,1,85,133,17,31,10,Bhubaneswar
2022,2,85,115,17,31,10,Bhubaneswar
2022,3,63,95,18,29,10,Bhubaneswar
2022,4,45,85,18,28,10,Bhubaneswar
2022,5,47,78,20,29,9,Bhubaneswar
2022,6,47,72,20,28,9,Bhubaneswar
2022,7,37,63,19,27,9,Bhubaneswar
2022,8,33,57,20,26,9,Bhubaneswar
2022,9,37,54,18,27,9,Bhubaneswar
2022,10,70,105,20,28,10,Bhubaneswar
2022,11,88,127,20,26,9,Bhubaneswar
2022,12,150,157,29,28,11,Bhubaneswar
2023,1,98,146,25,28,11,Bhubaneswar
2023,2,73,121,20,28,10,Bhubaneswar
2023,3,98,101,20,28,10,Bhubaneswar
2023,4,68,102,22,29,10,Bhubaneswar
2023,5,55,81,21,28,9,Bhubaneswar
2023,6,55,78,20,28,9,Bhubaneswar
2023,7,37,47,17,28,10,Bhubaneswar
2023,8,40,60,18,26,9,Bhubaneswar
2023,9,40,53,18,26,12,Bhubaneswar
2023,10,70,111,20,26,11,Bhubaneswar
2023,11,163,156,25,29,11,Bhubaneswar
2023,12,140,151,21,26,10,Bhubaneswar
2024,1,108.140914,176.0254032,24.14714382,76.3394086,19.02058468,Bhubaneswar
2024,2,61.42948276,123.435783,15.27086207,72.98337644,15.94515086,Bhubaneswar
2024,3,29.52301075,103.7331922,9.524811828,55.44419355,10.58989919,Bhubaneswar
2024,4,35.68228472,98.41418519,0.284328704,74.72476389,0.106281746,Bhubaneswar
2024,5,16.49295027,51.13708557,2.864433244,52.89452957,2.420755568,Bhubaneswar
2024,6,22.07446528,66.32691667,10.60369444,59.27083333,6.362020833,Bhubaneswar
2024,7,16.52912634,49.16414651,7.486639785,32.18090054,8.336780914,Bhubaneswar
2024,8,11.67848118,41.53058468,6.15124328,30.53764785,5.688655914,Bhubaneswar
2024,9,16.05052083,42.02163889,6.972222222,31.39576389,4.167986111,Bhubaneswar
2024,10,27.90204973,69.68760753,10.70601478,30.70571237,6.811841398,Bhubaneswar
2024,11,70.20823611,132.9355278,19.11556944,61.81047222,8.758430556,Bhubaneswar
2024,12,78.68571237,138.1481855,24.38717742,70.50704301,12.16646505,Bhubaneswar
